Country,Both,Male,Female
 Nauru *,32.5,32.1,32.8
 Tonga *,31.9,30.4,33.5
 Samoa *,31.7,29.9,33.5
 Kuwait *,30,29.5,30.8
 Saint Kitts and Nevis *,29.7,28.4,30.9
 Saint Lucia *,29.6,28.9,30.2
 Kiribati *,29.6,28.7,30.5
 Palau,29.4,29.4,29.5
 Micronesia *,29.4,27.8,31
 Tuvalu *,29.3,28.7,29.9
 Qatar *,29.2,29,30.1
 Marshall Islands *,29.2,28.4,30
 Egypt *,29.2,27.6,30.7
 United Arab Emirates *,29,28.6,29.7
 Jordan *,28.9,28.2,29.7
 Belize *,28.9,27.6,30.2
 Bahamas,28.8,28,29.6
 Trinidad and Tobago *,28.7,27.9,29.4
 Barbados *,28.7,27.4,30
United States,28.5,28.5,28.5
 Saudi Arabia *,28.5,28.3,28.7
 Libya *,28.4,27.2,29.6
 Bahrain *,28.2,28,28.6
 Mexico *,28.1,27.5,28.7
 Antigua and Barbuda,28.1,27.3,29.5
 Syria *,28.1,27.2,29
 Iraq *,28,27.2,28.8
 New Zealand *,27.9,28,27.8
 Lebanon *,27.8,28,27.6
 Chile *,27.8,27.6,28
 Turkey *,27.8,27.1,28.5
 Argentina *,27.7,27.8,27.5
 Ireland *,27.5,27.9,27.1
 Andorra *,27.5,27.8,27.1
 Kazakhstan *,27.4,27.4,27.5
 El Salvador *,27.4,26.8,28
 Azerbaijan *,27.4,26.6,28.1
 Suriname *,27.4,26.5,28.2
 Jamaica *,27.4,25.5,29.2
 United Kingdom *,27.3,27.5,27.1
 Greece *,27.3,27.4,27.2
 Saint Vincent and the Grenadines *,27.3,26.5,28.1
 South Africa *,27.3,25.4,29.1
 Australia *,27.2,27.6,26.8
 Canada *,27.2,27.6,26.8
 Malta *,27.2,27.5,26.8
 Venezuela *,27.2,27.4,27.1
 Georgia *,27.2,27.2,27.3
 Fiji *,27.2,26.1,28.4
 Panama *,27.1,26.4,27.7
 Cyprus *,27,27.6,26.3
 Ecuador *,27,26.4,27.7
 Grenada *,27,25.2,28.7
 Dominica *,27,25.1,29
 Czech Republic *,26.9,27.8,26
 Slovenia *,26.9,27.5,26.3
 Oman *,26.9,26.8,27.1
 Costa Rica *,26.9,26.7,27.1
 Nicaragua *,26.9,26,27.8
 Uruguay *,26.8,26.7,26.9
 Tunisia *,26.8,26,27.5
 Seychelles *,26.8,25.6,28
 Spain *,26.7,27.4,26
 Moldova *,26.7,26.3,27.1
 Dominican Republic *,26.7,26,27.4
 Armenia *,26.7,25.9,27.4
 Lithuania *,26.6,27.3,26
 Belarus *,26.6,27.1,26.2
 Swaziland *,26.5,24.1,28.9
 Luxembourg *,26.5,27.6,25.5
 Slovakia *,26.5,27.4,25.7
 Russia *,26.5,26.1,26.8
 Guatemala *,26.5,25.8,27.1
 Poland *,26.4,27,25.7
 Turkmenistan *,26.4,26.4,26.4
 Honduras *,26.4,25.5,27.3
 Guyana *,26.3,25,27.6
