host_country,country_code,year,tourism_arrivals,host
"Korea, Rep.",KOR,1995,3753000.0,No
United States,USA,1995,79732000.0,No
United Kingdom,GBR,1995,23537000.0,No
France,FRA,1995,190032631.57894737,No
Italy,ITA,1995,55706000.0,No
Japan,JPN,1995,3345000.0,No
Australia,AUS,1995,3726000.0,No
Canada,CAN,1995,41657000.0,No
Germany,DEU,1995,14847000.0,No
China,CHN,1995,46387000.0,No
Russian Federation,RUS,1995,10290000.0,No
Greece,GRC,1995,10712000.0,No
Norway,NOR,1995,2880000.0,No
Austria,AUT,1995,17173000.0,No
Switzerland,CHE,1995,6946000.0,No
Brazil,BRA,1995,1991000.0,No
Spain,ESP,1995,52460000.0,No
Mexico,MEX,1995,85446000.0,No
Finland,FIN,1995,1779000.0,No
Netherlands,NLD,1995,6574000.0,No
Belgium,BEL,1995,5560000.0,No
Sweden,SWE,1995,2310000.0,No
"Korea, Rep.",KOR,1996,3684000.0,No
United States,USA,1996,82756000.0,Yes
United Kingdom,GBR,1996,25163000.0,No
France,FRA,1996,148263000.0,No
Italy,ITA,1996,59805000.0,No
Japan,JPN,1996,3837000.0,No
Australia,AUS,1996,4165000.0,No
Canada,CAN,1996,43256000.0,No
Germany,DEU,1996,15205000.0,No
China,CHN,1996,51128000.0,No
Russian Federation,RUS,1996,16208000.0,No
Greece,GRC,1996,9782000.0,No
Norway,NOR,1996,2746000.0,No
Austria,AUT,1996,17090000.0,No
Switzerland,CHE,1996,6730000.0,No
Brazil,BRA,1996,2666000.0,No
Spain,ESP,1996,55077000.0,No
Mexico,MEX,1996,90394000.0,No
Finland,FIN,1996,1724000.0,No
Netherlands,NLD,1996,6580000.0,No
Belgium,BEL,1996,5829000.0,No
Sweden,SWE,1996,2376000.0,No
"Korea, Rep.",KOR,1997,3908000.0,No
United States,USA,1997,82525000.0,No
United Kingdom,GBR,1997,25515000.0,No
France,FRA,1997,157551000.0,No
Italy,ITA,1997,57998000.0,No
Japan,JPN,1997,4218000.0,No
Australia,AUS,1997,4318000.0,No
Canada,CAN,1997,45076000.0,No
Germany,DEU,1997,15837000.0,No
China,CHN,1997,57588000.0,No
Russian Federation,RUS,1997,17463000.0,No
Greece,GRC,1997,10588000.0,No
Norway,NOR,1997,2702000.0,No
Austria,AUT,1997,16647000.0,No
Switzerland,CHE,1997,7039000.0,No
Brazil,BRA,1997,2850000.0,No
Spain,ESP,1997,62415000.0,No
Mexico,MEX,1997,92915000.0,No
Finland,FIN,1997,1832000.0,No
Netherlands,NLD,1997,7841000.0,No
Belgium,BEL,1997,6037000.0,No
Sweden,SWE,1997,2388000.0,No
"Korea, Rep.",KOR,1998,4250000.0,No
United States,USA,1998,74767000.0,No
United Kingdom,GBR,1998,25745000.0,No
France,FRA,1998,190032631.57894737,No
Italy,ITA,1998,58499000.0,No
Japan,JPN,1998,4106000.0,No
Australia,AUS,1998,4167000.0,No
Canada,CAN,1998,48064000.0,No
Germany,DEU,1998,16511000.0,No
China,CHN,1998,63478000.0,No
Russian Federation,RUS,1998,16188000.0,No
Greece,GRC,1998,11364000.0,No
Norway,NOR,1998,3256000.0,No
Austria,AUT,1998,17352000.0,No
Switzerland,CHE,1998,7185000.0,No
Brazil,BRA,1998,4818000.0,No
Spain,ESP,1998,68068000.0,No
Mexico,MEX,1998,95214000.0,No
Finland,FIN,1998,2644000.0,No
Netherlands,NLD,1998,9312000.0,No
Belgium,BEL,1998,6179000.0,No
Sweden,SWE,1998,2573000.0,No
"Korea, Rep.",KOR,1999,4660000.0,No
United States,USA,1999,75796000.0,No
United Kingdom,GBR,1999,25394000.0,No
France,FRA,1999,190032631.57894737,No
Italy,ITA,1999,59521000.0,No
Japan,JPN,1999,4438000.0,No
Australia,AUS,1999,4459000.0,No
Canada,CAN,1999,49055000.0,No
Germany,DEU,1999,17116000.0,No
China,CHN,1999,72796000.0,No
Russian Federation,RUS,1999,18820000.0,No
Greece,GRC,1999,12606000.0,No
Norway,NOR,1999,3223000.0,No
Austria,AUT,1999,17467000.0,No
Switzerland,CHE,1999,7154000.0,No
Brazil,BRA,1999,5107000.0,No
Spain,ESP,1999,72040000.0,No
Mexico,MEX,1999,99869000.0,No
Finland,FIN,1999,2454000.0,No
Netherlands,NLD,1999,9874000.0,No
Belgium,BEL,1999,6369000.0,No
Sweden,SWE,1999,2595000.0,No
"Korea, Rep.",KOR,2000,5322000.0,No
United States,USA,2000,78343000.0,No
United Kingdom,GBR,2000,25209000.0,No
France,FRA,2000,190032631.57894737,No
Italy,ITA,2000,62702000.0,No
Japan,JPN,2000,4757000.0,No
Australia,AUS,2000,4931000.0,Yes
Canada,CAN,2000,48638000.0,No
Germany,DEU,2000,18983000.0,No
China,CHN,2000,83444000.0,No
Russian Federation,RUS,2000,21169000.0,No
Greece,GRC,2000,13567000.0,No
Norway,NOR,2000,3104000.0,No
Austria,AUT,2000,17982000.0,No
Switzerland,CHE,2000,7821000.0,No
Brazil,BRA,2000,5313000.0,No
Spain,ESP,2000,74580000.0,No
Mexico,MEX,2000,105673000.0,No
Finland,FIN,2000,2714000.0,No
Netherlands,NLD,2000,10003000.0,No
Belgium,BEL,2000,6457000.0,No
Sweden,SWE,2000,3828000.0,No
"Korea, Rep.",KOR,2001,5147000.0,No
United States,USA,2001,70975000.0,No
United Kingdom,GBR,2001,22835000.0,No
France,FRA,2001,190032631.57894737,No
Italy,ITA,2001,60960000.0,No
Japan,JPN,2001,4772000.0,No
Australia,AUS,2001,4856000.0,No
Canada,CAN,2001,47147000.0,No
Germany,DEU,2001,17861000.0,No
China,CHN,2001,89013000.0,No
Russian Federation,RUS,2001,21595000.0,No
Greece,GRC,2001,14678000.0,No
Norway,NOR,2001,3073000.0,No
Austria,AUT,2001,18180000.0,No
Switzerland,CHE,2001,7455000.0,No
Brazil,BRA,2001,4773000.0,No
Spain,ESP,2001,75564000.0,No
Mexico,MEX,2001,100718000.0,No
Finland,FIN,2001,2826000.0,No
Netherlands,NLD,2001,9500000.0,No
Belgium,BEL,2001,6452000.0,No
Sweden,SWE,2001,4108000.0,No
"Korea, Rep.",KOR,2002,5347000.0,No
United States,USA,2002,64434000.0,No
United Kingdom,GBR,2002,24180000.0,No
France,FRA,2002,190032631.57894737,No
Italy,ITA,2002,63561000.0,No
Japan,JPN,2002,5239000.0,No
Australia,AUS,2002,4841000.0,No
Canada,CAN,2002,44896000.0,No
Germany,DEU,2002,17969000.0,No
China,CHN,2002,97908000.0,No
Russian Federation,RUS,2002,23309000.0,No
Greece,GRC,2002,14918000.0,No
Norway,NOR,2002,3111000.0,No
Austria,AUT,2002,18611000.0,No
Switzerland,CHE,2002,6868000.0,No
Brazil,BRA,2002,3785000.0,No
Spain,ESP,2002,79313000.0,No
Mexico,MEX,2002,100153000.0,No
Finland,FIN,2002,2875000.0,No
Netherlands,NLD,2002,9595000.0,No
Belgium,BEL,2002,6720000.0,No
Sweden,SWE,2002,4276000.0,No
"Korea, Rep.",KOR,2003,4753000.0,No
United States,USA,2003,62082000.0,No
United Kingdom,GBR,2003,24715000.0,No
France,FRA,2003,190032631.57894737,No
Italy,ITA,2003,63026000.0,No
Japan,JPN,2003,5212000.0,No
